('DAI62779', 'SNA38068', 'ELE17451') 0.3586626139817629
('DAI55148', 'FRO40251', 'SNA80324') 0.358600583090379
('DAI55148', 'DAI62779', 'SNA80324') 0.3574144486692015
('FRO40251', 'GRO73461', 'DAI62779') 0.35714285714285715
('ELE17451', 'ELE92920', 'DAI85309') 0.3567708333333333
('DAI62779', 'FRO40251', 'GRO85051') 0.3560747663551402
('DAI88807', 'SNA72163', 'SNA59903') 0.3553299492385787
('DAI55148', 'DAI75645', 'ELE17451') 0.35451505016722407
('FRO40251', 'GRO71621', 'DAI62779') 0.3541666666666667
('DAI62779', 'SNA59903', 'SNA72163') 0.3538011695906433
('DAI42493', 'DAI62779', 'SNA18336') 0.35275080906148865
('ELE20847', 'FRO40251', 'DAI75645') 0.35253456221198154
('GRO73461', 'SNA80324', 'DAI62779') 0.35231316725978645
('GRO73461', 'SNA45677', 'DAI62779') 0.3522012578616352
('DAI88807', 'GRO73461', 'SNA72163') 0.3514376996805112
('DAI55148', 'FRO40251', 'DAI75645') 0.3498542274052478
('DAI55148', 'FRO40251', 'ELE17451') 0.3498542274052478
('DAI55148', 'ELE17451', 'DAI75645') 0.3475409836065574
('GRO46854', 'GRO73461', 'DAI62779') 0.34704370179948585
('GRO69543', 'GRO73461', 'FRO40251') 0.346875
('FRO40251', 'SNA45677', 'GRO85051') 0.34627831715210355
('DAI55148', 'SNA80324', 'DAI75645') 0.34513274336283184
('DAI62779', 'ELE32164', 'DAI43223') 0.3449519230769231
('ELE17451', 'SNA59903', 'DAI88807') 0.3418803418803419
('ELE20847', 'FRO40251', 'DAI62779') 0.34101382488479265
('DAI22896', 'DAI62779', 'GRO73461') 0.3400673400673401
('FRO40251', 'FRO53271', 'GRO85051') 0.33980582524271846
('FRO40251', 'GRO38814', 'DAI62779') 0.3389830508474576
('DAI62779', 'GRO81087', 'ELE92920') 0.3383838383838384
('FRO92469', 'SNA80324', 'DAI75645') 0.3380681818181818
('FRO40251', 'SNA80324', 'DAI62779') 0.3371104815864023
('DAI62779', 'FRO85978', 'ELE59028') 0.33640552995391704
('GRO85051', 'SNA80324', 'ELE17451') 0.3354564755838641
('FRO40251', 'SNA80324', 'GRO85051') 0.3335694050991501
('DAI62779', 'ELE32164', 'ELE17451') 0.3329326923076923
('DAI22896', 'GRO73461', 'DAI62779') 0.33223684210526316
('FRO40251', 'GRO73461', 'DAI75645') 0.3321995464852608
('DAI88079', 'FRO40251', 'DAI75645') 0.33183856502242154
('ELE32164', 'GRO59710', 'DAI62779') 0.33040614709110866
('DAI55148', 'SNA80324', 'ELE17451') 0.3303834808259587
('DAI75645', 'FRO40251', 'DAI62779') 0.32854864433811803
('FRO92469', 'SNA80324', 'DAI62779') 0.32670454545454547
('FRO40251', 'GRO85051', 'DAI75645') 0.325638911788953
('DAI75645', 'GRO73461', 'SNA80324') 0.32303370786516855
('DAI88079', 'FRO40251', 'GRO73461') 0.32286995515695066
('ELE20847', 'FRO40251', 'GRO85051') 0.32027649769585254
('FRO40251', 'GRO21487', 'GRO85051') 0.32
('DAI85309', 'GRO46854', 'DAI62779') 0.3179190751445087
('GRO56726', 'GRO73461', 'FRO40251') 0.31790123456790126
('ELE32164', 'GRO59710', 'DAI43223') 0.3150384193194292
('ELE26917', 'FRO40251', 'DAI62779') 0.315028901734104
('DAI75645', 'FRO40251', 'GRO85051') 0.3149920255183413
('FRO40251', 'GRO21487', 'SNA80324') 0.31466666666666665
('FRO40251', 'GRO85051', 'DAI62779') 0.31409727947238253
('DAI88079', 'FRO40251', 'SNA80324') 0.3116591928251121
('ELE17451', 'FRO40251', 'GRO85051') 0.3113342898134864
('DAI62779', 'SNA99873', 'ELE17451') 0.3103448275862069
('DAI55148', 'DAI62779', 'DAI75645') 0.30988593155893535
('DAI62779', 'DAI91290', 'ELE17451') 0.3087818696883853
('DAI62779', 'GRO30386', 'ELE17451') 0.307475317348378
('DAI62779', 'FRO19221', 'GRO73461') 0.30735930735930733
('DAI55148', 'FRO40251', 'FRO92469') 0.30612244897959184
('ELE92920', 'SNA18336', 'DAI85309') 0.3054945054945055
('DAI43223', 'GRO59710', 'ELE17451') 0.3046875
('DAI62779', 'ELE56788', 'ELE17451') 0.30140845070422534
('FRO40251', 'FRO92469', 'DAI75645') 0.3005988023952096
('DAI62779', 'SNA18336', 'DAI85309') 0.2984189723320158
('DAI62779', 'DAI85309', 'ELE99737') 0.2962962962962963
('DAI62779', 'DAI75645', 'GRO73461') 0.29591836734693877
('ELE17451', 'FRO31317', 'DAI62779') 0.29526462395543174
('DAI62779', 'FRO40251', 'GRO73461') 0.29439252336448596
('DAI62779', 'GRO46854', 'GRO73461') 0.2928416485900217
('DAI62779', 'SNA93860', 'FRO85978') 0.2905027932960894
('DAI43223', 'ELE32164', 'ELE17451') 0.28973277074542897
('GRO21487', 'GRO73461', 'FRO40251') 0.2884310618066561
('DAI62779', 'SNA93860', 'SNA53220') 0.28677839851024206
('FRO40251', 'GRO21487', 'DAI75645') 0.2853333333333333
('DAI55148', 'DAI62779', 'ELE17451') 0.28517110266159695
('FRO40251', 'FRO92469', 'DAI62779') 0.28502994011976046
('DAI85309', 'ELE17451', 'ELE92920') 0.2842323651452282
('DAI62779', 'GRO15017', 'ELE17451') 0.28388746803069054
('DAI62779', 'FRO19221', 'SNA53220') 0.28354978354978355
('DAI31081', 'DAI62779', 'ELE17451') 0.28296703296703296
('DAI62779', 'FRO31317', 'ELE17451') 0.28191489361702127
('ELE32164', 'GRO73461', 'GRO59710') 0.28189300411522633
('ELE20847', 'FRO40251', 'FRO92469') 0.28110599078341014
('DAI88807', 'SNA72163', 'GRO73461') 0.27918781725888325
('DAI62779', 'GRO73461', 'FRO40251') 0.276558384547849
('DAI88079', 'FRO40251', 'ELE17451') 0.2757847533632287
('GRO21487', 'GRO73461', 'DAI62779') 0.27416798732171155
('ELE17451', 'GRO73461', 'FRO40251') 0.27413793103448275
('GRO46854', 'GRO73461', 'FRO40251') 0.27249357326478146
