('FRO92261', 'DAI62779') 0.24371584699453552
('DAI22896', 'DAI62779') 0.24364232977850697
('SNA40784', 'DAI62779') 0.24352941176470588
('SNA30755', 'ELE17451') 0.24342105263157895
('DAI83948', 'FRO40251') 0.2433734939759036
('ELE37770', 'DAI62779') 0.24285714285714285
('SNA44190', 'DAI62779') 0.2425629290617849
('DAI38969', 'DAI62779') 0.24203821656050956
('FRO85978', 'SNA95666') 0.24139728884254433
('ELE74482', 'FRO31317') 0.24088145896656535
('ELE38289', 'SNA66979') 0.23984526112185686
('ELE59028', 'SNA93860') 0.23922734026745915
('DAI62779', 'ELE17451') 0.23878806059697016
('DAI55911', 'FRO40251') 0.23819301848049282
('ELE74009', 'DAI62779') 0.23788546255506607
('DAI88807', 'GRO73461') 0.2378419452887538
('ELE53126', 'FRO53271') 0.23775388291517324
('SNA42528', 'GRO73461') 0.23721881390593047
('ELE37048', 'ELE53126') 0.23690773067331672
('GRO56989', 'DAI62779') 0.2366412213740458
('SNA24799', 'SNA55617') 0.2361111111111111
('DAI42493', 'GRO59710') 0.23576423576423577
('SNA69641', 'DAI62779') 0.2353923205342237
('SNA42528', 'DAI62779') 0.23517382413087934
('DAI48891', 'SNA45677') 0.23515151515151514
('DAI22177', 'DAI62779') 0.2347879532882606
('DAI42493', 'FRO40251') 0.23476523476523475
('FRO98184', 'ELE17451') 0.23333333333333334
('DAI33336', 'DAI62779') 0.2328767123287671
('GRO81647', 'GRO21487') 0.23265306122448978
('GRO81647', 'FRO40251') 0.23061224489795917
('ELE87456', 'DAI62779') 0.23053435114503817
('DAI88352', 'ELE17451') 0.23026315789473684
('GRO50832', 'FRO80039') 0.23026315789473684
('ELE11111', 'DAI75645') 0.22934648581997533
('FRO79022', 'FRO99783') 0.22902796271637815
('DAI83948', 'DAI62779') 0.2289156626506024
('GRO18367', 'DAI62779') 0.2289156626506024
('ELE20847', 'GRO73461') 0.22860635696821516
('SNA38068', 'ELE17451') 0.2281134401972873
('FRO99372', 'ELE17451') 0.22772277227722773
('FRO40251', 'GRO73461') 0.22726101520226746
('GRO36567', 'SNA45677') 0.22716346153846154
('GRO61133', 'DAI62779') 0.22710068130204392
('ELE53126', 'ELE37048') 0.2270011947431302
('GRO82670', 'DAI62779') 0.22657952069716775
('FRO85978', 'DAI62779') 0.22627737226277372
('SNA24799', 'ELE30182') 0.2261904761904762
('GRO15017', 'GRO73461') 0.22588235294117648
('SNA12663', 'GRO30386') 0.22562141491395793
('FRO99783', 'FRO79022') 0.225130890052356
('SNA59061', 'DAI62779') 0.22508038585209003
('SNA42528', 'FRO40251') 0.2249488752556237
('ELE20847', 'SNA96271') 0.22493887530562348
('ELE37048', 'DAI62779') 0.22443890274314215
('DAI31081', 'GRO73461') 0.22442505947660588
('DAI42083', 'DAI62779') 0.22413793103448276
('ELE49801', 'DAI62779') 0.22322775263951736
('GRO68067', 'GRO73461') 0.2227342549923195
('GRO21487', 'DAI62779') 0.2226950354609929
('DAI95741', 'DAI62779') 0.22209567198177677
('DAI31081', 'FRO40251') 0.22204599524187152
('GRO46854', 'GRO73461') 0.2215261958997722
('FRO98729', 'DAI62779') 0.2213855421686747
('DAI88807', 'ELE17451') 0.22112462006079028
('DAI73122', 'ELE32164') 0.22084805653710246
('GRO35122', 'GRO73461') 0.21948356807511737
('ELE12845', 'DAI62779') 0.2188612099644128
('GRO36567', 'DAI62779') 0.21875
('GRO38814', 'FRO40251') 0.21819526627218935
('DAI92600', 'ELE17451') 0.21818181818181817
('FRO53271', 'FRO40251') 0.2176056338028169
('FRO19221', 'DAI85309') 0.21733505821474774
('GRO38983', 'DAI62779') 0.2169249106078665
('DAI42083', 'GRO59710') 0.2164750957854406
('FRO53271', 'GRO21487') 0.21619718309859154
('FRO40251', 'FRO92469') 0.21515073434681783
('FRO24098', 'GRO73461') 0.21497120921305182
('ELE62598', 'FRO40251') 0.21478382147838215
('GRO81087', 'ELE17451') 0.21475409836065573
('DAI42083', 'SNA59903') 0.21455938697318008
